N,Song1,Song2,Algo,Embedding,Perc
0,thehappywhistler,sanfranciscobrewingad,Spectral,300,2.9
1,thehappywhistler,sanfranciscobrewingad,Spectral,100,26.09
2,thehappywhistler,sanfranciscobrewingad,Spectral,200,2.9
3,thehappywhistler,sanfranciscobrewingad,Spectral,50,1.45
4,thehappywhistler,sanfranciscobrewingad,Spectral,150,5.8
