N,Song1,Song2,Algo,Embedding,Perc
0,lady_love,word_warning,Agglomerative,300,5.8
1,lady_love,word_warning,Agglomerative,100,4.35
2,lady_love,word_warning,Agglomerative,200,52.17
3,lady_love,word_warning,Agglomerative,50,0.0
4,lady_love,word_warning,Agglomerative,150,0.0
