N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,1,1
1,confessing,starlight,0,0
2,o_gladsome,o_light,0,0
3,lady_love,word_warning,0,0
4,whisper,wishing_song,0,0
5,does_anybody,bali,0,0
6,old_eli,someday_prince,0,0
7,alla_rancho,el_rancho_anonymous,0,0
8,kansas,roses,0,0
9,kalamazoo_arnstein,kalamazoo_warren,0,0
10,prelude,dakota,1,1
11,vagyok,perhaps,0,0
12,shepherd,beginthebeguine,0,0
13,amothersprayer,myownsweet,0,0
14,motheranddad,nearyou,0,0
15,thehappywhistler,sanfranciscobrewingad,0,0
16,muehlebachbeersmith,timeformuehlebach,0,0
17,goodnight,whilewedream,0,0
18,mizpahshalom,shalom,0,0
19,evangelimann,mitternachtstango,0,0
20,sognonostalgico,girlinthedark,0,0
21,hessofine,mysweetlord,1,1
22,jeanniemichele,themeatimetolove,0,0
23,daybyday,themetodayshow,0,0
24,keeponsinging,keeponsingingtwo,0,0
25,pourtoi,feelings,0,0
26,es,hey,0,0
27,tillyou,phantomoftheopera,0,0
28,greengrassgrows,superstring,0,0
29,gehtsparkasse,begood,1,1
30,heartbeat,getoveryou,1,1
31,gumtree,downunder,0,0
32,blessees,janine,0,0
