N,Song1,Song2,Algo,Embedding,Perc
0,daybyday,themetodayshow,MiniBatch500,300,7.25
1,daybyday,themetodayshow,MiniBatch500,100,2.9
2,daybyday,themetodayshow,MiniBatch500,200,60.87
3,daybyday,themetodayshow,MiniBatch500,50,10.14
4,daybyday,themetodayshow,MiniBatch500,150,88.41
