N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,spider,desert_song,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,kansas,roses,0,0
4,kalamazoo_arnstein,kalamazoo_warren,2,2
5,vagyok,perhaps,0,0
6,shepherd,beginthebeguine,0,0
7,amothersprayer,myownsweet,0,0
8,mizpahshalom,shalom,0,0
9,hessofine,mysweetlord,0,0
10,uncantoagalicia,bisschenfrieden,2,2
11,lifeisarock,menusong,0,0
12,es,hey,1,1
13,greengrassgrows,superstring,0,0
14,heartbeat,getoveryou,2,2
15,gumtree,downunder,0,0
