N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,1,1
1,light_myLife,lady_divine_pt2,1,1
2,light_myLife,lady_divine_pt3,1,1
3,confessing,starlight,1,1
4,o_gladsome,o_light,1,1
5,alla_rancho,el_rancho_anonymous,1,1
6,whisper_to_me,itallcomes,1,1
7,shepherd,beginthebeguine,1,1
8,sadness,youdbesonice,1,1
9,twilightwaltz,calledlove,1,1
10,thehappywhistler,sanfranciscobrewingad,1,1
11,hessofine,mysweetlord,1,1
12,jeanniemichele,themeatimetolove,2,2
13,keeponsinging,keeponsingingtwo,0,0
14,pourtoi,feelings,1,1
15,tillyou,phantomoftheopera,1,1
16,whereareyounow,whereareyou,1,1
17,gehtsparkasse,begood,1,1
18,heartbeat,getoveryou,1,1
19,reich,niveau,1,1
