N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,0,0
2,whisper_to_me,itallcomes,0,0
3,vagyok,perhaps,1,1
4,shepherd,beginthebeguine,0,0
5,sadness,youdbesonice,0,0
6,muehlebachbeersmith,timeformuehlebach,0,0
7,mizpahshalom,shalom,1,1
8,mojoworkout,gotmymojoworking,1,1
9,hessofine,mysweetlord,0,0
10,keeponsinging,keeponsingingtwo,1,1
11,dirlada,loopdilove,0,0
12,pourtoi,feelings,0,0
13,uncantoagalicia,bisschenfrieden,1,1
14,lifeisarock,menusong,1,1
15,es,hey,0,0
16,tillyou,phantomoftheopera,0,0
17,greengrassgrows,superstring,1,1
18,whereareyounow,whereareyou,0,0
19,gehtsparkasse,begood,0,0
20,heartbeat,getoveryou,0,0
21,reich,niveau,0,0
