N,Song1,Song2,Algo,Embedding,Perc
0,vagyok,perhaps,MiniBatch250,300,11.59
1,vagyok,perhaps,MiniBatch250,100,1.45
2,vagyok,perhaps,MiniBatch250,200,31.88
3,vagyok,perhaps,MiniBatch250,50,4.35
4,vagyok,perhaps,MiniBatch250,150,2.9
