N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,o_gladsome,o_light,0,0
3,alla_rancho,el_rancho_anonymous,3,3
4,whisper_to_me,itallcomes,0,0
5,kalamazoo_arnstein,kalamazoo_warren,0,0
6,vagyok,perhaps,0,0
7,sadness,youdbesonice,4,4
8,twilightwaltz,calledlove,1,1
9,motheranddad,nearyou,0,0
10,tonighthesailedagain,iloveyouyesido,0,0
11,dirlada,loopdilove,1,1
12,letitend,howdeepisyourlove,1,1
13,lifeisarock,menusong,2,2
14,es,hey,0,0
15,ithinkaboutyou,ithinkaboutyoutwo,0,0
16,greengrassgrows,superstring,0,0
17,gehtsparkasse,begood,4,4
18,heartbeat,getoveryou,4,4
19,blessees,janine,4,4
20,reich,niveau,0,0
