N,Song1,Song2,Algo,Embedding,Perc
0,motheranddad,nearyou,BIRCH,300,0.0
1,motheranddad,nearyou,BIRCH,100,0.0
2,motheranddad,nearyou,BIRCH,200,0.0
3,motheranddad,nearyou,BIRCH,50,0.0
4,motheranddad,nearyou,BIRCH,150,1.45
