N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,1,1
2,whisper,wishing_song,1,1
3,old_eli,someday_prince,0,0
4,whisper_to_me,itallcomes,1,1
5,kalamazoo_arnstein,kalamazoo_warren,1,1
6,prelude,dakota,3,3
7,messiah,fence,0,0
8,shepherd,beginthebeguine,0,0
9,motheranddad,nearyou,0,0
10,tonighthesailedagain,iloveyouyesido,2,2
11,goodnight,whilewedream,0,0
12,mizpahshalom,shalom,0,0
13,mojoworkout,gotmymojoworking,0,0
14,sognonostalgico,girlinthedark,1,1
15,hessofine,mysweetlord,0,0
16,keeponsinging,keeponsingingtwo,0,0
17,dirlada,loopdilove,3,3
18,letitend,howdeepisyourlove,0,0
19,uncantoagalicia,bisschenfrieden,0,0
20,lifeisarock,menusong,1,1
21,tillyou,phantomoftheopera,1,1
22,ithinkaboutyou,ithinkaboutyoutwo,3,3
23,greengrassgrows,superstring,1,1
24,gehtsparkasse,begood,1,1
25,heartbeat,getoveryou,1,1
26,blessees,janine,1,1
27,reich,niveau,0,0
