N,Song1,Song2,Cluster_1,Cluster_2
0,confessing,starlight,3,3
1,messiah,fence,5,5
2,shepherd,beginthebeguine,5,5
3,motheranddad,nearyou,5,5
4,rendezvous,idreamed,1,1
5,mizpahshalom,shalom,5,5
6,mojoworkout,gotmymojoworking,5,5
7,sognonostalgico,girlinthedark,3,3
8,hessofine,mysweetlord,5,5
9,keeponsinging,keeponsingingtwo,5,5
10,dirlada,loopdilove,0,0
11,lifeisarock,menusong,7,7
12,tillyou,phantomoftheopera,3,3
13,ithinkaboutyou,ithinkaboutyoutwo,0,0
14,greengrassgrows,superstring,7,7
15,heartbeat,getoveryou,3,3
16,blessees,janine,7,7
17,reich,niveau,5,5
