N,Song1,Song2,Cluster_1,Cluster_2
0,prelude,dakota,1,1
1,messiah,fence,0,0
2,shepherd,beginthebeguine,0,0
3,sadness,youdbesonice,1,1
4,motheranddad,nearyou,0,0
5,goodnight,whilewedream,0,0
6,mojoworkout,gotmymojoworking,2,2
7,sognonostalgico,girlinthedark,0,0
8,daybyday,themetodayshow,1,1
9,keeponsinging,keeponsingingtwo,2,2
10,dirlada,loopdilove,1,1
11,pourtoi,feelings,1,1
12,es,hey,0,0
13,greengrassgrows,superstring,2,2
14,whereareyounow,whereareyou,1,1
15,gehtsparkasse,begood,2,2
16,heartbeat,getoveryou,2,2
17,gumtree,downunder,0,0
18,blessees,janine,2,2
