N,Song1,Song2,Cluster_1,Cluster_2
0,prelude,dakota,0,0
1,shepherd,beginthebeguine,3,3
2,amothersprayer,myownsweet,3,3
3,motheranddad,nearyou,2,2
4,goodnight,whilewedream,2,2
5,rendezvous,idreamed,3,3
6,mojoworkout,gotmymojoworking,4,4
7,sognonostalgico,girlinthedark,2,2
8,daybyday,themetodayshow,0,0
9,dirlada,loopdilove,0,0
10,greengrassgrows,superstring,4,4
11,whereareyounow,whereareyou,3,3
12,gehtsparkasse,begood,1,1
13,heartbeat,getoveryou,1,1
14,gumtree,downunder,3,3
15,blessees,janine,4,4
