N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt3,0,0
2,does_anybody,bali,1,1
3,prelude,dakota,4,4
4,sadness,youdbesonice,0,0
5,motheranddad,nearyou,1,1
6,goodnight,whilewedream,1,1
7,rendezvous,idreamed,5,5
8,evangelimann,mitternachtstango,5,5
9,sognonostalgico,girlinthedark,1,1
10,jeanniemichele,themeatimetolove,5,5
11,daybyday,themetodayshow,3,3
12,greengrassgrows,superstring,0,0
13,gehtsparkasse,begood,2,2
14,heartbeat,getoveryou,2,2
15,blessees,janine,0,0
