N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,0,0
1,kansas,roses,3,3
2,prelude,dakota,0,0
3,shepherd,beginthebeguine,0,0
4,tonighthesailedagain,iloveyouyesido,1,1
5,mojoworkout,gotmymojoworking,3,3
6,hessofine,mysweetlord,0,0
7,keeponsinging,keeponsingingtwo,0,0
8,dirlada,loopdilove,0,0
9,letitend,howdeepisyourlove,0,0
10,pourtoi,feelings,0,0
11,uncantoagalicia,bisschenfrieden,0,0
12,lifeisarock,menusong,2,2
13,es,hey,0,0
14,ithinkaboutyou,ithinkaboutyoutwo,0,0
15,greengrassgrows,superstring,2,2
16,whereareyounow,whereareyou,0,0
17,heartbeat,getoveryou,2,2
18,blessees,janine,2,2
19,reich,niveau,0,0
