N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,2,2
1,whisper,wishing_song,1,1
2,does_anybody,bali,1,1
3,spider,desert_song,0,0
4,alla_rancho,el_rancho_anonymous,1,1
5,chatterbox_carew,chatterbox_jerome,1,1
6,whisper_to_me,itallcomes,2,2
7,messiah,fence,2,2
8,muehlebachbeersmith,timeformuehlebach,2,2
9,dirlada,loopdilove,1,1
10,letitend,howdeepisyourlove,2,2
11,lifeisarock,menusong,2,2
12,es,hey,1,1
13,tillyou,phantomoftheopera,1,1
14,greengrassgrows,superstring,0,0
15,heartbeat,getoveryou,0,0
16,gumtree,downunder,0,0
17,blessees,janine,0,0
18,reich,niveau,1,1
