N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,6,6
1,lady_love,word_warning,5,5
2,prelude,dakota,0,0
3,mygodandi,mygodanditwo,5,5
4,goodnight,whilewedream,5,5
5,mizpahshalom,shalom,5,5
6,mojoworkout,gotmymojoworking,4,4
7,hessofine,mysweetlord,5,5
8,keeponsinging,keeponsingingtwo,5,5
9,dirlada,loopdilove,0,0
10,letitend,howdeepisyourlove,5,5
11,uncantoagalicia,bisschenfrieden,5,5
12,ithinkaboutyou,ithinkaboutyoutwo,0,0
13,heartbeat,getoveryou,6,6
14,blessees,janine,9,9
