N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,9,9
1,lady_love,word_warning,0,0
2,prelude,dakota,0,0
3,shepherd,beginthebeguine,0,0
4,sadness,youdbesonice,5,5
5,hessofine,mysweetlord,0,0
6,keeponsinging,keeponsingingtwo,0,0
7,dirlada,loopdilove,0,0
8,letitend,howdeepisyourlove,0,0
9,uncantoagalicia,bisschenfrieden,0,0
10,es,hey,0,0
11,ithinkaboutyou,ithinkaboutyoutwo,0,0
12,greengrassgrows,superstring,7,7
13,heartbeat,getoveryou,9,9
14,blessees,janine,7,7
15,reich,niveau,0,0
