N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,light_myLife,lady_divine_pt2,0,0
2,o_gladsome,o_light,8,8
3,lady_love,word_warning,9,9
4,spider,desert_song,9,9
5,chatterbox_carew,chatterbox_jerome,9,9
6,prelude,dakota,9,9
7,thehappywhistler,sanfranciscobrewingad,9,9
8,goodnight,whilewedream,9,9
9,rendezvous,idreamed,9,9
10,sognonostalgico,girlinthedark,8,8
11,es,hey,9,9
12,ithinkaboutyou,ithinkaboutyoutwo,8,8
13,gehtsparkasse,begood,8,8
14,heartbeat,getoveryou,7,7
