N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,0,0
1,chatterbox_carew,chatterbox_jerome,0,0
2,messiah,fence,0,0
3,twilightwaltz,calledlove,0,0
4,motheranddad,nearyou,0,0
5,rendezvous,idreamed,2,2
6,mizpahshalom,shalom,1,1
7,mojoworkout,gotmymojoworking,4,4
8,sognonostalgico,girlinthedark,0,0
9,jeanniemichele,themeatimetolove,2,2
10,daybyday,themetodayshow,7,7
11,greengrassgrows,superstring,1,1
12,whereareyounow,whereareyou,2,2
13,gehtsparkasse,begood,3,3
14,heartbeat,getoveryou,3,3
15,blessees,janine,1,1
