N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,4,4
1,chatterbox_carew,chatterbox_jerome,1,1
2,whisper_to_me,itallcomes,1,1
3,kalamazoo_arnstein,kalamazoo_warren,2,2
4,prelude,dakota,1,1
5,vagyok,perhaps,1,1
6,shepherd,beginthebeguine,1,1
7,goodnight,whilewedream,1,1
8,hessofine,mysweetlord,5,5
9,keeponsinging,keeponsingingtwo,0,0
10,letitend,howdeepisyourlove,2,2
11,es,hey,4,4
12,greengrassgrows,superstring,5,5
13,whereareyounow,whereareyou,5,5
14,heartbeat,getoveryou,2,2
