N,Song1,Song2,Algo,Embedding,Perc
0,sadness,youdbesonice,BIRCH,300,18.84
1,sadness,youdbesonice,BIRCH,100,5.8
2,sadness,youdbesonice,BIRCH,200,0.0
3,sadness,youdbesonice,BIRCH,50,0.0
4,sadness,youdbesonice,BIRCH,150,4.35
