N,Song1,Song2,Algo,Embedding,Perc
0,kansas,roses,BIRCH,300,2.9
1,kansas,roses,BIRCH,100,13.04
2,kansas,roses,BIRCH,200,1.45
3,kansas,roses,BIRCH,50,21.74
4,kansas,roses,BIRCH,150,1.45
