N,Song1,Song2,Algo,Embedding,Perc
0,chatterbox_carew,chatterbox_jerome,BIRCH,300,0.0
1,chatterbox_carew,chatterbox_jerome,BIRCH,100,1.45
2,chatterbox_carew,chatterbox_jerome,BIRCH,200,5.8
3,chatterbox_carew,chatterbox_jerome,BIRCH,50,43.48
4,chatterbox_carew,chatterbox_jerome,BIRCH,150,8.7
