N,Song1,Song2,Algo,Embedding,Perc
0,motheranddad,nearyou,BIRCH,300,5.8
1,motheranddad,nearyou,BIRCH,100,5.8
2,motheranddad,nearyou,BIRCH,200,10.14
3,motheranddad,nearyou,BIRCH,50,56.52
4,motheranddad,nearyou,BIRCH,150,8.7
