Clust_Div,Cnt,(%)
2,47,90.38
3,43,82.69
4,41,78.85
5,40,76.92
6,40,76.92
7,33,63.46
8,33,63.46
9,33,63.46
10,19,36.54
11,15,28.85
12,32,61.54
13,19,36.54
14,17,32.69
15,15,28.85
16,15,28.85
17,16,30.77
18,16,30.77
19,9,17.31
20,10,19.23
21,14,26.92
22,8,15.38
23,10,19.23
24,11,21.15
