Clust_Div,Cnt,(%)
2,40,76.92
3,39,75.0
4,40,76.92
5,38,73.08
6,38,73.08
7,37,71.15
8,24,46.15
9,16,30.77
10,16,30.77
11,15,28.85
12,14,26.92
13,11,21.15
14,11,21.15
15,14,26.92
16,11,21.15
17,12,23.08
18,12,23.08
19,9,17.31
20,9,17.31
21,8,15.38
22,10,19.23
23,10,19.23
24,6,11.54
