Clust_Div,Cnt,(%)
2,29,55.77
3,25,48.08
4,18,34.62
5,15,28.85
6,12,23.08
7,10,19.23
8,13,25.0
9,10,19.23
10,9,17.31
11,9,17.31
12,9,17.31
13,7,13.46
14,6,11.54
15,7,13.46
16,7,13.46
17,6,11.54
18,6,11.54
19,6,11.54
20,6,11.54
21,9,17.31
22,8,15.38
23,8,15.38
24,6,11.54
