N,Song1,Song2,Algo,Embedding,Perc
0,sadness,youdbesonice,MiniBatch250,300,13.04
1,sadness,youdbesonice,MiniBatch250,100,26.09
2,sadness,youdbesonice,MiniBatch250,200,0.0
3,sadness,youdbesonice,MiniBatch250,50,0.0
4,sadness,youdbesonice,MiniBatch250,150,2.9
