N,Song1,Song2,Algo,Embedding,Perc
0,hessofine,mysweetlord,MiniBatch500,300,1.45
1,hessofine,mysweetlord,MiniBatch500,100,18.84
2,hessofine,mysweetlord,MiniBatch500,200,14.49
3,hessofine,mysweetlord,MiniBatch500,50,0.0
4,hessofine,mysweetlord,MiniBatch500,150,10.14
