N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,0,0
1,does_anybody,bali,1,1
2,old_eli,someday_prince,1,1
3,alla_rancho,el_rancho_anonymous,1,1
4,chatterbox_carew,chatterbox_jerome,1,1
5,kansas,roses,1,1
6,whisper_to_me,itallcomes,1,1
7,kalamazoo_arnstein,kalamazoo_warren,1,1
8,prelude,dakota,1,1
9,vagyok,perhaps,1,1
10,shepherd,beginthebeguine,0,0
11,amothersprayer,myownsweet,0,0
12,twilightwaltz,calledlove,1,1
13,motheranddad,nearyou,0,0
14,thehappywhistler,sanfranciscobrewingad,1,1
15,goodnight,whilewedream,1,1
16,rendezvous,idreamed,0,0
17,mizpahshalom,shalom,1,1
18,evangelimann,mitternachtstango,1,1
19,mojoworkout,gotmymojoworking,1,1
20,sognonostalgico,girlinthedark,1,1
21,hessofine,mysweetlord,1,1
22,jeanniemichele,themeatimetolove,1,1
23,daybyday,themetodayshow,1,1
24,keeponsinging,keeponsingingtwo,1,1
25,dirlada,loopdilove,0,0
26,pourtoi,feelings,1,1
27,lifeisarock,menusong,0,0
28,tillyou,phantomoftheopera,1,1
29,greengrassgrows,superstring,0,0
30,gehtsparkasse,begood,0,0
31,heartbeat,getoveryou,0,0
32,gumtree,downunder,1,1
33,blessees,janine,0,0
34,reich,niveau,1,1
