N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,15,15
1,alla_rancho,el_rancho_anonymous,15,15
2,chatterbox_carew,chatterbox_jerome,15,15
3,kansas,roses,15,15
4,whisper_to_me,itallcomes,11,11
5,prelude,dakota,15,15
6,amothersprayer,myownsweet,4,4
7,motheranddad,nearyou,4,4
8,goodnight,whilewedream,6,6
9,rendezvous,idreamed,4,4
10,mojoworkout,gotmymojoworking,6,6
11,dirlada,loopdilove,9,9
12,greengrassgrows,superstring,5,5
13,gehtsparkasse,begood,7,7
14,heartbeat,getoveryou,5,5
15,blessees,janine,7,7
16,reich,niveau,11,11
