N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,3,3
1,chatterbox_carew,chatterbox_jerome,3,3
2,prelude,dakota,6,6
3,amothersprayer,myownsweet,4,4
4,motheranddad,nearyou,4,4
5,goodnight,whilewedream,6,6
6,rendezvous,idreamed,4,4
7,mizpahshalom,shalom,6,6
8,hessofine,mysweetlord,6,6
9,keeponsinging,keeponsingingtwo,11,11
10,dirlada,loopdilove,9,9
11,pourtoi,feelings,10,10
12,greengrassgrows,superstring,5,5
13,gehtsparkasse,begood,7,7
14,heartbeat,getoveryou,5,5
15,blessees,janine,7,7
16,reich,niveau,11,11
