N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,8,8
1,whisper_to_me,itallcomes,10,10
2,amothersprayer,myownsweet,14,14
3,motheranddad,nearyou,14,14
4,goodnight,whilewedream,3,3
5,rendezvous,idreamed,14,14
6,daybyday,themetodayshow,6,6
7,dirlada,loopdilove,2,2
8,pourtoi,feelings,5,5
9,ithinkaboutyou,ithinkaboutyoutwo,10,10
10,greengrassgrows,superstring,9,9
11,gehtsparkasse,begood,11,11
12,heartbeat,getoveryou,9,9
13,gumtree,downunder,1,1
14,blessees,janine,11,11
15,reich,niveau,10,10
