N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,0,0
1,lady_love,word_warning,0,0
2,alla_rancho,el_rancho_anonymous,0,0
3,kalamazoo_arnstein,kalamazoo_warren,1,1
4,prelude,dakota,0,0
5,shepherd,beginthebeguine,1,1
6,sadness,youdbesonice,2,2
7,thehappywhistler,sanfranciscobrewingad,3,3
8,mygodandi,mygodanditwo,3,3
9,daybyday,themetodayshow,0,0
10,dirlada,loopdilove,0,0
11,letitend,howdeepisyourlove,3,3
12,lifeisarock,menusong,2,2
13,ithinkaboutyou,ithinkaboutyoutwo,0,0
14,greengrassgrows,superstring,0,0
15,heartbeat,getoveryou,2,2
16,blessees,janine,0,0
