N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,6,6
1,prelude,dakota,0,0
2,shepherd,beginthebeguine,1,1
3,sadness,youdbesonice,6,6
4,goodnight,whilewedream,1,1
5,rendezvous,idreamed,11,11
6,mizpahshalom,shalom,6,6
7,mojoworkout,gotmymojoworking,6,6
8,sognonostalgico,girlinthedark,4,4
9,daybyday,themetodayshow,8,8
10,keeponsinging,keeponsingingtwo,6,6
11,greengrassgrows,superstring,12,12
12,whereareyounow,whereareyou,1,1
13,gehtsparkasse,begood,7,7
14,heartbeat,getoveryou,7,7
15,blessees,janine,10,10
