N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,5,5
1,light_myLife,lady_divine_pt3,5,5
2,lady_love,word_warning,5,5
3,prelude,dakota,0,0
4,sadness,youdbesonice,5,5
5,rendezvous,idreamed,2,2
6,mizpahshalom,shalom,5,5
7,mojoworkout,gotmymojoworking,5,5
8,sognonostalgico,girlinthedark,4,4
9,daybyday,themetodayshow,8,8
10,keeponsinging,keeponsingingtwo,5,5
11,letitend,howdeepisyourlove,5,5
12,greengrassgrows,superstring,10,10
13,whereareyounow,whereareyou,5,5
14,gehtsparkasse,begood,7,7
15,heartbeat,getoveryou,7,7
16,blessees,janine,9,9
