N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,1,1
2,o_gladsome,o_light,1,1
3,lady_love,word_warning,1,1
4,whisper,wishing_song,1,1
5,does_anybody,bali,1,1
6,spider,desert_song,1,1
7,old_eli,someday_prince,1,1
8,chatterbox_carew,chatterbox_jerome,1,1
9,kansas,roses,1,1
10,whisper_to_me,itallcomes,1,1
11,vagyok,perhaps,0,0
12,messiah,fence,1,1
13,amothersprayer,myownsweet,1,1
14,sadness,youdbesonice,1,1
15,twilightwaltz,calledlove,1,1
16,motheranddad,nearyou,1,1
17,tonighthesailedagain,iloveyouyesido,1,1
18,mygodandi,mygodanditwo,1,1
19,rendezvous,idreamed,1,1
20,mizpahshalom,shalom,1,1
21,evangelimann,mitternachtstango,1,1
22,mojoworkout,gotmymojoworking,1,1
23,sognonostalgico,girlinthedark,1,1
24,hessofine,mysweetlord,1,1
25,keeponsinging,keeponsingingtwo,1,1
26,letitend,howdeepisyourlove,1,1
27,pourtoi,feelings,1,1
28,uncantoagalicia,bisschenfrieden,1,1
29,lifeisarock,menusong,1,1
30,es,hey,1,1
31,tillyou,phantomoftheopera,1,1
32,ithinkaboutyou,ithinkaboutyoutwo,1,1
33,greengrassgrows,superstring,0,0
34,whereareyounow,whereareyou,1,1
35,heartbeat,getoveryou,1,1
36,blessees,janine,1,1
37,reich,niveau,1,1
