N,Song1,Song2,Cluster_1,Cluster_2
0,confessing,starlight,1,1
1,lady_love,word_warning,1,1
2,whisper,wishing_song,1,1
3,spider,desert_song,1,1
4,old_eli,someday_prince,1,1
5,kansas,roses,1,1
6,whisper_to_me,itallcomes,1,1
7,vagyok,perhaps,2,2
8,messiah,fence,1,1
9,amothersprayer,myownsweet,1,1
10,sadness,youdbesonice,1,1
11,twilightwaltz,calledlove,1,1
12,mygodandi,mygodanditwo,1,1
13,rendezvous,idreamed,0,0
14,mizpahshalom,shalom,1,1
15,evangelimann,mitternachtstango,0,0
16,mojoworkout,gotmymojoworking,1,1
17,keeponsinging,keeponsingingtwo,1,1
18,letitend,howdeepisyourlove,1,1
19,pourtoi,feelings,0,0
20,uncantoagalicia,bisschenfrieden,1,1
21,lifeisarock,menusong,0,0
22,tillyou,phantomoftheopera,1,1
23,greengrassgrows,superstring,2,2
24,whereareyounow,whereareyou,0,0
25,heartbeat,getoveryou,1,1
26,blessees,janine,1,1
27,reich,niveau,1,1
