N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,4,4
1,old_eli,someday_prince,6,6
2,chatterbox_carew,chatterbox_jerome,6,6
3,kansas,roses,4,4
4,kalamazoo_arnstein,kalamazoo_warren,4,4
5,prelude,dakota,4,4
6,motheranddad,nearyou,6,6
7,mygodandi,mygodanditwo,4,4
8,goodnight,whilewedream,6,6
9,evangelimann,mitternachtstango,6,6
10,mojoworkout,gotmymojoworking,6,6
11,sognonostalgico,girlinthedark,4,4
12,uncantoagalicia,bisschenfrieden,6,6
13,greengrassgrows,superstring,2,2
14,whereareyounow,whereareyou,0,0
15,gehtsparkasse,begood,5,5
16,heartbeat,getoveryou,5,5
17,blessees,janine,5,5
18,reich,niveau,6,6
