N,Song1,Song2,Cluster_1,Cluster_2
0,spider,desert_song,4,4
1,old_eli,someday_prince,3,3
2,alla_rancho,el_rancho_anonymous,4,4
3,chatterbox_carew,chatterbox_jerome,3,3
4,kansas,roses,4,4
5,messiah,fence,3,3
6,amothersprayer,myownsweet,3,3
7,motheranddad,nearyou,3,3
8,goodnight,whilewedream,3,3
9,mizpahshalom,shalom,4,4
10,evangelimann,mitternachtstango,3,3
11,mojoworkout,gotmymojoworking,3,3
12,sognonostalgico,girlinthedark,4,4
13,hessofine,mysweetlord,3,3
14,daybyday,themetodayshow,0,0
15,keeponsinging,keeponsingingtwo,3,3
16,dirlada,loopdilove,0,0
17,pourtoi,feelings,3,3
18,uncantoagalicia,bisschenfrieden,3,3
19,lifeisarock,menusong,1,1
20,greengrassgrows,superstring,2,2
21,whereareyounow,whereareyou,2,2
22,gehtsparkasse,begood,2,2
23,heartbeat,getoveryou,2,2
24,blessees,janine,2,2
