N,Song1,Song2,Algo,Embedding,Perc
0,evangelimann,mitternachtstango,Spectral,300,23.19
1,evangelimann,mitternachtstango,Spectral,100,4.35
2,evangelimann,mitternachtstango,Spectral,200,14.49
3,evangelimann,mitternachtstango,Spectral,50,10.14
4,evangelimann,mitternachtstango,Spectral,150,7.25
