N,Song1,Song2,Algo,Embedding,Perc
0,gehtsparkasse,begood,Spectral,300,15.94
1,gehtsparkasse,begood,Spectral,100,15.94
2,gehtsparkasse,begood,Spectral,200,95.65
3,gehtsparkasse,begood,Spectral,50,55.07
4,gehtsparkasse,begood,Spectral,150,60.87
