N,Song,Cluster
0,timeformuehlebach,45
1,daybyday,39
2,begood,18
3,dirlada,42
4,kansas,27
5,confessing,26
6,tonighthesailedagain,35
7,menusong,58
8,ithinkaboutyou,1
9,phantomoftheopera,63
10,whereareyounow,20
11,themetodayshow,9
12,themeatimetolove,11
13,gehtsparkasse,7
14,whisper_to_me,46
15,goodnight,44
16,themetodayshow,9
17,chatterbox_carew,19
18,uncantoagalicia,28
19,word_warning,13
20,fence,14
21,bali,43
22,o_gladsome,16
23,does_anybody,10
24,shepherd,30
25,thehappywhistler,53
26,girlinthedark,19
27,spider,67
28,mysweetlord,59
29,timeformuehlebach,55
30,daybyday,39
31,roses,49
32,hessofine,25
33,letitend,50
34,light_myLife,65
35,niveau,15
36,wishing_song,8
37,old_eli,61
38,rendezvous,23
39,mojoworkout,13
40,gotmymojoworking,23
41,ithinkaboutyoutwo,34
42,muehlebachbeersmith,37
43,downunder,52
44,hey,62
45,muehlebachbeersmith,20
46,lady_divine_pt2,4
47,sognonostalgico,33
48,jeanniemichele,43
49,perhaps,1
50,lady_divine_pt3,40
51,mygodanditwo,45
52,lifeisarock,6
53,dakota,3
54,prelude,7
55,calledlove,12
56,myownsweet,27
57,lady_divine_pt1,6
58,o_light,8
59,light_myLife,8
60,tillyou,22
61,twilightwaltz,24
62,desert_song,2
63,littlespanishtown,64
64,whisper,46
65,youdbesonice,19
66,pourtoi,32
67,whilewedream,56
68,janine,57
69,vagyok,54
70,mizpahshalom,5
71,idreamed,29
72,messiah,47
73,itallcomes,2
74,getoveryou,18
75,es,42
76,iloveyouyesido,36
77,kalamazoo_warren,4
78,keeponsingingtwo,27
79,beginthebeguine,41
80,reich,25
81,kalamazoo_arnstein,0
82,pourtoi,48
83,whereareyou,49
84,sadness,1
85,littlespanishtown,21
86,someday_prince,32
87,loopdilove,34
88,heartbeat,18
89,keeponsinging,57
90,motheranddad,1
91,bisschenfrieden,4
92,el_rancho_anonymous,27
93,blessees,4
94,shalom,53
95,ilpostino,38
96,superstring,52
97,greengrassgrows,8
98,starlight,1
99,chatterbox_jerome,42
100,amothersprayer,30
101,lady_love,17
102,feelings,66
103,evangelimann,68
104,nearyou,52
105,howdeepisyourlove,35
106,sanfranciscobrewingad,27
107,alla_rancho,48
108,gumtree,31
109,diesererde,60
110,mitternachtstango,51
111,mygodandi,25
