N,Song1,Song2,Algo,Embedding,Perc
0,greengrassgrows,superstring,MiniBatch250,300,5.8
1,greengrassgrows,superstring,MiniBatch250,100,0.0
2,greengrassgrows,superstring,MiniBatch250,200,27.54
3,greengrassgrows,superstring,MiniBatch250,50,0.0
4,greengrassgrows,superstring,MiniBatch250,150,1.45
