N,Song1,Song2,Algo,Embedding,Perc
0,confessing,starlight,MiniBatch100,300,5.8
1,confessing,starlight,MiniBatch100,100,0.0
2,confessing,starlight,MiniBatch100,200,2.9
3,confessing,starlight,MiniBatch100,50,0.0
4,confessing,starlight,MiniBatch100,150,1.45
