N,Song1,Song2,Algo,Embedding,Perc
0,kansas,roses,KMean,300,1.45
1,kansas,roses,KMean,100,23.19
2,kansas,roses,KMean,200,1.45
3,kansas,roses,KMean,50,18.84
4,kansas,roses,KMean,150,8.7
