N,Song1,Song2,Algo,Embedding,Perc
0,jeanniemichele,themeatimetolove,KMean,300,2.9
1,jeanniemichele,themeatimetolove,KMean,100,2.9
2,jeanniemichele,themeatimetolove,KMean,200,10.14
3,jeanniemichele,themeatimetolove,KMean,50,2.9
4,jeanniemichele,themeatimetolove,KMean,150,4.35
