N,Song1,Song2,Algo,Embedding,Perc
0,sadness,youdbesonice,KMean,300,11.59
1,sadness,youdbesonice,KMean,100,8.7
2,sadness,youdbesonice,KMean,200,0.0
3,sadness,youdbesonice,KMean,50,0.0
4,sadness,youdbesonice,KMean,150,4.35
