N,Song1,Song2,Algo,Embedding,Perc
0,thehappywhistler,sanfranciscobrewingad,GaussianMM,300,0.0
1,thehappywhistler,sanfranciscobrewingad,GaussianMM,100,2.9
2,thehappywhistler,sanfranciscobrewingad,GaussianMM,200,7.25
3,thehappywhistler,sanfranciscobrewingad,GaussianMM,50,1.45
4,thehappywhistler,sanfranciscobrewingad,GaussianMM,150,2.9
