N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,4,4
1,lady_love,word_warning,2,2
2,does_anybody,bali,0,0
3,old_eli,someday_prince,2,2
4,whisper_to_me,itallcomes,1,1
5,prelude,dakota,5,5
6,amothersprayer,myownsweet,3,3
7,motheranddad,nearyou,2,2
8,mygodandi,mygodanditwo,5,5
9,rendezvous,idreamed,3,3
10,evangelimann,mitternachtstango,1,1
11,hessofine,mysweetlord,5,5
12,jeanniemichele,themeatimetolove,4,4
13,daybyday,themetodayshow,5,5
14,pourtoi,feelings,4,4
15,tillyou,phantomoftheopera,4,4
16,ithinkaboutyou,ithinkaboutyoutwo,4,4
17,gehtsparkasse,begood,1,1
18,heartbeat,getoveryou,1,1
19,blessees,janine,1,1
20,reich,niveau,0,0
