N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,8,8
1,does_anybody,bali,3,3
2,whisper_to_me,itallcomes,2,2
3,prelude,dakota,4,4
4,amothersprayer,myownsweet,1,1
5,motheranddad,nearyou,9,9
6,rendezvous,idreamed,1,1
7,evangelimann,mitternachtstango,2,2
8,mojoworkout,gotmymojoworking,2,2
9,daybyday,themetodayshow,11,11
10,ithinkaboutyou,ithinkaboutyoutwo,5,5
11,greengrassgrows,superstring,11,11
12,gehtsparkasse,begood,7,7
13,heartbeat,getoveryou,7,7
14,blessees,janine,7,7
15,reich,niveau,3,3
