N,Song1,Song2,Cluster_1,Cluster_2
0,lady_love,word_warning,0,0
1,prelude,dakota,2,2
2,messiah,fence,3,3
3,sadness,youdbesonice,0,0
4,motheranddad,nearyou,3,3
5,goodnight,whilewedream,3,3
6,rendezvous,idreamed,0,0
7,mojoworkout,gotmymojoworking,1,1
8,sognonostalgico,girlinthedark,3,3
9,jeanniemichele,themeatimetolove,0,0
10,daybyday,themetodayshow,2,2
11,dirlada,loopdilove,2,2
12,uncantoagalicia,bisschenfrieden,0,0
13,greengrassgrows,superstring,0,0
14,whereareyounow,whereareyou,0,0
15,gehtsparkasse,begood,1,1
16,heartbeat,getoveryou,1,1
17,blessees,janine,0,0
