N,Song1,Song2,Cluster_1,Cluster_2
0,confessing,starlight,8,8
1,lady_love,word_warning,7,7
2,old_eli,someday_prince,7,7
3,prelude,dakota,7,7
4,vagyok,perhaps,7,7
5,messiah,fence,7,7
6,shepherd,beginthebeguine,7,7
7,sadness,youdbesonice,7,7
8,motheranddad,nearyou,7,7
9,mygodandi,mygodanditwo,7,7
10,goodnight,whilewedream,7,7
11,mizpahshalom,shalom,7,7
12,sognonostalgico,girlinthedark,8,8
13,hessofine,mysweetlord,7,7
14,keeponsinging,keeponsingingtwo,7,7
15,letitend,howdeepisyourlove,7,7
16,uncantoagalicia,bisschenfrieden,7,7
17,lifeisarock,menusong,4,4
18,ithinkaboutyou,ithinkaboutyoutwo,7,7
19,greengrassgrows,superstring,4,4
20,whereareyounow,whereareyou,7,7
21,heartbeat,getoveryou,7,7
22,blessees,janine,4,4
23,reich,niveau,7,7
