N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,2,2
1,light_myLife,lady_divine_pt3,2,2
2,lady_love,word_warning,1,1
3,does_anybody,bali,2,2
4,old_eli,someday_prince,1,1
5,chatterbox_carew,chatterbox_jerome,2,2
6,kansas,roses,2,2
7,prelude,dakota,0,0
8,vagyok,perhaps,2,2
9,messiah,fence,2,2
10,motheranddad,nearyou,1,1
11,goodnight,whilewedream,0,0
12,rendezvous,idreamed,2,2
13,evangelimann,mitternachtstango,0,0
14,mojoworkout,gotmymojoworking,1,1
15,sognonostalgico,girlinthedark,2,2
16,hessofine,mysweetlord,2,2
17,jeanniemichele,themeatimetolove,2,2
18,daybyday,themetodayshow,2,2
19,dirlada,loopdilove,2,2
20,ithinkaboutyou,ithinkaboutyoutwo,2,2
21,greengrassgrows,superstring,2,2
22,gehtsparkasse,begood,0,0
23,heartbeat,getoveryou,0,0
24,blessees,janine,0,0
25,reich,niveau,2,2
