N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt2,1,1
1,confessing,starlight,1,1
2,old_eli,someday_prince,3,3
3,kansas,roses,3,3
4,prelude,dakota,2,2
5,messiah,fence,3,3
6,shepherd,beginthebeguine,3,3
7,sadness,youdbesonice,3,3
8,motheranddad,nearyou,3,3
9,tonighthesailedagain,iloveyouyesido,0,0
10,mygodandi,mygodanditwo,3,3
11,mizpahshalom,shalom,3,3
12,mojoworkout,gotmymojoworking,3,3
13,sognonostalgico,girlinthedark,1,1
14,dirlada,loopdilove,2,2
15,letitend,howdeepisyourlove,3,3
16,pourtoi,feelings,2,2
17,lifeisarock,menusong,1,1
18,ithinkaboutyou,ithinkaboutyoutwo,2,2
19,gehtsparkasse,begood,1,1
20,heartbeat,getoveryou,1,1
21,blessees,janine,1,1
