N,Song1,Song2,Algo,Embedding,Perc
0,dirlada,loopdilove,Spectral,300,97.1
1,dirlada,loopdilove,Spectral,100,57.97
2,dirlada,loopdilove,Spectral,200,33.33
3,dirlada,loopdilove,Spectral,50,79.71
4,dirlada,loopdilove,Spectral,150,7.25
