N,Song1,Song2,Cluster_1,Cluster_2
0,does_anybody,bali,0,0
1,alla_rancho,el_rancho_anonymous,0,0
2,chatterbox_carew,chatterbox_jerome,0,0
3,kansas,roses,0,0
4,prelude,dakota,0,0
5,amothersprayer,myownsweet,2,2
6,motheranddad,nearyou,2,2
7,goodnight,whilewedream,0,0
8,rendezvous,idreamed,2,2
9,mizpahshalom,shalom,0,0
10,sognonostalgico,girlinthedark,0,0
11,hessofine,mysweetlord,0,0
12,daybyday,themetodayshow,1,1
13,dirlada,loopdilove,3,3
14,uncantoagalicia,bisschenfrieden,3,3
15,ithinkaboutyou,ithinkaboutyoutwo,3,3
16,greengrassgrows,superstring,5,5
17,whereareyounow,whereareyou,3,3
18,gehtsparkasse,begood,5,5
19,heartbeat,getoveryou,5,5
20,gumtree,downunder,0,0
21,blessees,janine,5,5
22,reich,niveau,1,1
