N,Song1,Song2,Cluster_1,Cluster_2
0,chatterbox_carew,chatterbox_jerome,0,0
1,kansas,roses,4,4
2,prelude,dakota,4,4
3,amothersprayer,myownsweet,5,5
4,motheranddad,nearyou,5,5
5,goodnight,whilewedream,4,4
6,rendezvous,idreamed,5,5
7,mizpahshalom,shalom,4,4
8,evangelimann,mitternachtstango,1,1
9,hessofine,mysweetlord,4,4
10,daybyday,themetodayshow,6,6
11,keeponsinging,keeponsingingtwo,1,1
12,dirlada,loopdilove,2,2
13,uncantoagalicia,bisschenfrieden,2,2
14,ithinkaboutyou,ithinkaboutyoutwo,2,2
15,greengrassgrows,superstring,5,5
16,whereareyounow,whereareyou,2,2
17,heartbeat,getoveryou,5,5
18,blessees,janine,5,5
19,reich,niveau,1,1
